"","CT","CL1","GH","MV","CL2","NR"
"CT",NA,NA,NA,NA,NA,NA
"CL1",0,NA,NA,NA,NA,NA
"GH",0,0,NA,NA,NA,NA
"MV",0,0,0,NA,NA,NA
"CL2",0,0,0,0,NA,NA
"NR",0,0,0,0,0,NA
