"","CT","CL1","GH","MV","CL2","NR"
"CT",NA,0.0392880318755308,0.0203727227780616,0.00872697362774859,0.0517463168626985,0.0199719641775902
"CL1",0.0392880318755308,NA,0.0639964734524299,0.0540700452007427,0.06837091707831,0.0673903961450135
"GH",0.0203727227780616,0.0639964734524299,NA,0.0141000138667968,0.0654226907014926,0.0119690187667076
"MV",0.00872697362774859,0.0540700452007427,0.0141000138667968,NA,0.0584114749054249,0.0155670788520018
"CL2",0.0517463168626985,0.06837091707831,0.0654226907014926,0.0584114749054249,NA,0.0688127434861703
"NR",0.0199719641775902,0.0673903961450135,0.0119690187667076,0.0155670788520018,0.0688127434861703,NA
