"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0477230935487882,0.0225551748242008,0.00969997525365746,0.0627050931728661,0.0271718757704349
"FI",0.0477230935487882,NA,0.0758148284262883,0.0659299531846325,0.0831757185278756,0.0905683998478236
"GH",0.0225551748242008,0.0758148284262883,NA,0.0157648723712284,0.0767526235152398,0.0162093195333461
"MV",0.00969997525365746,0.0659299531846325,0.0157648723712284,NA,0.0692875274803153,0.0209921427442612
"NEH",0.0627050931728661,0.0831757185278756,0.0767526235152398,0.0692875274803153,NA,0.0828768519000343
"NR",0.0271718757704349,0.0905683998478236,0.0162093195333461,0.0209921427442612,0.0828768519000343,NA
