,Line,Bag,Percent.Survival,Type,End_Size,Yield,Site
1,CL1,1,13.5135135,Commercial,46.46245714,627.8710418,Wickford
2,CL1,2,4.7826087,Commercial,43.31190909,207.1439132,Wickford
3,CL1,3,8.7378641,Commercial,43.22983333,377.7364087,Wickford
4,CL2,1,13.1147541,Commercial,45.60125,598.0491804,Wickford
5,CL2,2,8.8607595,Commercial,49.45257143,438.1873421,Wickford
6,CL2,3,18.6813187,Commercial,47.30394118,883.7000009,Wickford
7,GH,1,3.2786885,Wild,47.54025,155.869671,Wickford
8,MV,1,16.3934426,Wild,21.8263,357.8081962,Wickford
