"","Lineage","Bag.Number","End_Size"
"1","CL1",1,78.6430303030303
"2","CL1",2,74.2445
"3","CL1",3,77.7586111111111
"4","CL2",1,78.4296296296296
"5","CL2",2,80.024375
"6","GH",3,64.926
"7","MV",1,51.914
"8","MV",2,59.5318518518519
"9","MV",3,59.4451851851852
