"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0323738953225978,0.0176900288352559,0.00718861296112844,0.0415149360406227,0.0194084464877781
"FI",NA,NA,0.0485774716500927,0.0413690099580342,0.0492949940870039,0.0476736528900097
"GH",NA,NA,NA,0.0119440265008456,0.0518105296532124,0.0112539335466809
"MV",NA,NA,NA,NA,0.045263660155249,0.0136522621547939
"NEH",NA,NA,NA,NA,NA,0.0540596417234263
"NR",NA,NA,NA,NA,NA,NA
