"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0411026656978165,0.020746210750927,0.00906623373096392,0.0529315516492252,0.0205112722988193
"FI",NA,NA,0.0647837302979438,0.0552622920179074,0.0703748227142801,0.0682553077968202
"GH",NA,NA,NA,0.0146152896353886,0.066697462090622,0.0120811244951968
"MV",NA,NA,NA,NA,0.059249522155535,0.0159185640561343
"NEH",NA,NA,NA,NA,NA,0.0699807759016003
"NR",NA,NA,NA,NA,NA,NA
