"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0307251187956892,0.0164895335794657,0.00630877131049782,0.0400936117282344,0.0178106742593139
"FI",NA,NA,0.0464258540356325,0.0391189694067533,0.0472237338345294,0.0449483207923177
"GH",NA,NA,NA,0.0109337724957125,0.0500172614695944,0.0100035491508979
"MV",NA,NA,NA,NA,0.0434925188581999,0.0122198487528479
"NEH",NA,NA,NA,NA,NA,0.0517437351726685
"NR",NA,NA,NA,NA,NA,NA
