"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0387694526420728,0.0192355887552641,0.00792005546698038,0.0504989323043962,0.0184854182344745
"FI",NA,NA,0.0617905434075059,0.0523631820445597,0.0672563773418701,0.0644658070722401
"GH",NA,NA,NA,0.0132810381158076,0.0638964811892237,0.0103218914498887
"MV",NA,NA,NA,NA,0.0565543343468198,0.0138725632054496
"NEH",NA,NA,NA,NA,NA,0.0665445166784557
"NR",NA,NA,NA,NA,NA,NA
