"","CT","FI","GH","MV","NEH","NR"
"CT",NA,0.0399307741633007,0.0199883069714146,0.00849234350186405,0.0517118131906141,0.0194815067396219
"FI",0.0399307741633007,NA,0.0632951993295385,0.0538268490857225,0.0688186268907889,0.0663505507943245
"GH",0.0199883069714146,0.0632951993295385,NA,0.0139396754123952,0.0652941784725561,0.0112048117992658
"MV",0.00849234350186405,0.0538268490857225,0.0139396754123952,NA,0.0579081620561572,0.0148904046614901
"NEH",0.0517118131906141,0.0688186268907889,0.0652941784725561,0.0579081620561572,NA,0.0682484766833034
"NR",0.0194815067396219,0.0663505507943245,0.0112048117992658,0.0148904046614901,0.0682484766833034,NA
