 ,CL1,CL2,CT,GH,MV
CL2,0.048,,,,
CT,0.031,0.041,,,
GH,0.047,0.051,0.017,,
MV,0.04,0.044,0.007,0.011,
NR,0.046,0.053,0.019,0.011,0.013
