"","CT","GH","MV","NR"
"CT",NA,0.017082129896543,0.00669474343019169,0.0186426580335876
"GH",0.017082129896543,NA,0.0114406089437375,0.0105689671265474
"MV",0.00669474343019169,0.0114406089437375,NA,0.013001447927975
"NR",0.0186426580335876,0.0105689671265474,0.013001447927975,NA
